ppl_count,date_time
78,2026-08-02_21-16
78,2026-08-02_21-17
78,2026-08-02_21-25
78,2026-08-02_21-28
78,2026-08-02_21-29
,2026-08-02_21-33
63,2026-08-03_10-45
63,2026-08-03_10-47
63,2026-08-03_10-51
65,2026-08-03_11-31
47,2026-08-03_12-32
53,2026-08-03_13-31
53,2026-08-03_13-32
47,2026-08-03_14-12
47,2026-08-03_14-31
56,2026-08-03_15-31
65,2026-08-03_16-31
65,2026-08-03_17-31
114,2026-08-03_18-05
131,2026-08-03_18-36
147,2026-08-03_19-11
147,2026-08-03_20-16
125,2026-08-03_20-16
125,2026-08-03_20-19
125,2026-08-03_20-24
125,2026-08-03_20-26
125,2026-08-03_20-28
125,2026-08-03_20-30
112,2026-08-03_20-45
110,2026-08-03_20-50
